x,y,t,K,W,S,h_xgb,h_svm,h_rf,h_ann,h_true
6613.68970489502,34378.512435913086,0.0,864.0,0.0,0.050000000745058,183.47403,184.45570331571523,183.43589104546442,180.96621368311654,183.434799194336
15099.178382873535,18244.1925201416,2554.0,302.3999938964844,0.0001092429179906,0.0099999997764825,222.68483,222.73601573024038,223.1332599887953,224.88827086154797,223.2474365234375
9358.99486541748,29662.326614379883,1580.99951171875,863.0294799804688,-5.039964213950627e-05,0.050000000745058,200.27809,199.15004194133758,199.74351886620096,197.50131091430845,199.7413024902344
20340.215507507324,16754.870681762695,1460.99951171875,65.0,0.000112172107237,0.050000000745058,230.97423,231.27206635030055,232.01775721232096,229.83621110735797,231.74783325195312
10606.860847473145,29414.1063079834,1460.99951171875,864.0,1.924861325068276e-05,0.050000000745058,201.77853,201.05222382749855,201.58353761307535,200.34116431549134,201.49514770507807
9358.99486541748,36364.27488708496,0.0,86.4000015258789,0.0,0.050000000745058,185.88338,186.60010321415334,184.00103342692057,181.85115147889687,184.02490234375
11854.726829528809,25194.361099243164,1095.99951171875,830.0,-1.844936251940492e-05,0.050000000745058,208.89647,209.720075981625,209.40419400948176,209.3040582126151,209.4105224609375
17594.910346984863,15017.328536987305,2554.0,864.0,9.259660326776076e-06,0.0500771403312683,225.91365,227.32864771080537,227.32314992718,227.94780723451586,227.3350830078125
17594.910346984863,15513.769149780272,2556.001953125,864.0,6.512931607915113e-05,0.0700000002980232,226.47044,226.71962291417086,226.98374044342413,228.0802523298792,226.87210083007807
20589.788703918457,16506.65037536621,608.0,65.0,0.0001194334009062,0.050000000745058,231.45895,231.37605196005325,233.3189304620821,230.1038410700155,233.3144989013672
13851.312400817871,22712.15803527832,1339.0,864.0,3.792189840205332e-06,0.050000000745058,214.68498,215.26893055922326,214.11052102177803,214.652413197691,214.20803833007807
8111.128883361816,20478.17527770996,850.9998779296875,10.0,1.421617093769803e-05,0.050000000745058,245.02386,237.38918503688262,241.89904113769532,241.37445414276985,242.07833862304688
9109.421669006348,24449.70018005371,850.9998779296875,30.0,1.066412190854968e-05,0.050000000745058,209.81096,213.94063277279474,207.87145289127412,206.22283436748148,207.9046173095703
19591.49591827393,21719.276809692383,245.0001373291016,86.4000015258789,8.650874743302082e-05,0.050000000745058,226.96304,227.78650534213668,227.15126780192057,226.72054245530822,227.3689727783203
14350.458793640137,19733.514358520508,2554.0,173.05140686035156,3.5767263174204216e-05,0.1000000014901161,219.7526,220.02472386572293,220.6269067800648,219.06462972038292,220.66119384765625
22336.801078796387,15513.769149780272,2555.0009765625,65.0,0.0001751999670963,0.050000000745058,234.94788,235.51093859010308,235.3577845040781,235.59364173415435,235.4073638916016
22087.22788238525,18740.63313293457,2312.00048828125,2512.340087890625,0.0001089248884543,0.0517521612346172,229.5381,229.01225033966293,228.7672685604494,233.30326991491975,228.7667999267578
8111.128883361816,20229.95497131348,1215.99951171875,10.0,1.4091969520802275e-05,0.050000000745058,245.65857,239.26420367095054,244.35883765326605,244.75999943924862,243.7880249023437
11106.00724029541,18244.1925201416,1580.99951171875,10.0,2.059384043784605e-05,0.050000000745058,235.667,235.03962009185386,235.4969135538737,235.30874082920855,236.53843688964844
12104.30002593994,18492.41282653809,2312.00048828125,20.0,6.852525768972138e-06,0.050000000745058,224.86711,229.45716948849102,224.20750295003256,224.15608396874003,223.700424194336
